"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R21","TANTALUM_KEMET_C","97.0513mm","62.0268mm","96.302mm","62.0268mm","96.302mm","62.0268mm","B","360.00","2K7"
"SW19","key4p","11.3875mm","9.5116mm","11.3875mm","9.5116mm","9.1375mm","5.5116mm","T","90.00","tactile key"
"R42","TANTALUM_KEMET_C","76.6297mm","61.8236mm","77.379mm","61.8236mm","77.379mm","61.8236mm","B","180.00","18K"
"C4","TANTALUM_KEMET_C","86.4108mm","34.6837mm","86.4108mm","33.9344mm","86.4108mm","33.9344mm","B","90.00","10uF"
"R24","TANTALUM_KEMET_C","79.4872mm","65.1637mm","79.4872mm","64.4144mm","79.4872mm","64.4144mm","B","90.00","150R"
"R25","TANTALUM_KEMET_C","81.57mm","65.1637mm","81.57mm","64.4144mm","81.57mm","64.4144mm","B","90.00","150R"
"R26","TANTALUM_KEMET_C","83.5258mm","65.1637mm","83.5258mm","64.4144mm","83.5258mm","64.4144mm","B","90.00","150R"
"R18","TANTALUM_KEMET_C","93.8636mm","65.1637mm","93.8636mm","64.4144mm","93.8636mm","64.4144mm","B","90.00","2K7"
"C2","TANTALUM_KEMET_C","91.8824mm","65.1637mm","91.8824mm","64.4144mm","91.8824mm","64.4144mm","B","90.00","100nF"
"R3","TANTALUM_KEMET_C","89.5964mm","65.1637mm","89.5964mm","64.4144mm","89.5964mm","64.4144mm","B","90.00","82R"
"R2","TANTALUM_KEMET_C","87.6406mm","65.1637mm","87.6406mm","64.4144mm","87.6406mm","64.4144mm","B","90.00","82R"
"R1","TANTALUM_KEMET_C","85.6848mm","65.1637mm","85.6848mm","64.4144mm","85.6848mm","64.4144mm","B","90.00","82R"
"R19","TANTALUM_KEMET_C","95.8702mm","65.1637mm","95.8702mm","64.4144mm","95.8702mm","64.4144mm","B","90.00","2K7"
"R23","TANTALUM_KEMET_C","77.5568mm","65.1637mm","77.5568mm","64.4144mm","77.5568mm","64.4144mm","B","90.00","150R"
"R33","TANTALUM_KEMET_C","78.1156mm","78.2193mm","78.1156mm","77.47mm","78.1156mm","77.47mm","B","90.00","18K"
"R40","TANTALUM_KEMET_C","96.429mm","78.2193mm","96.429mm","77.47mm","96.429mm","77.47mm","B","90.00","18K"
"R27","TANTALUM_KEMET_C","86.2944mm","78.2193mm","86.2944mm","77.47mm","86.2944mm","77.47mm","B","90.00","150R"
"R37","TANTALUM_KEMET_C","88.2756mm","78.2193mm","88.2756mm","77.47mm","88.2756mm","77.47mm","B","90.00","18K"
"R38","TANTALUM_KEMET_C","90.4854mm","78.2193mm","90.4854mm","77.47mm","90.4854mm","77.47mm","B","90.00","18K"
"R28","TANTALUM_KEMET_C","92.4666mm","78.2193mm","92.4666mm","77.47mm","92.4666mm","77.47mm","B","90.00","150R"
"R39","TANTALUM_KEMET_C","94.4478mm","78.2193mm","94.4478mm","77.47mm","94.4478mm","77.47mm","B","90.00","18K"
"R36","TANTALUM_KEMET_C","84.3132mm","78.2193mm","84.3132mm","77.47mm","84.3132mm","77.47mm","B","90.00","18K"
"R35","TANTALUM_KEMET_C","82.1796mm","78.2193mm","82.1796mm","77.47mm","82.1796mm","77.47mm","B","90.00","18K"
"R34","TANTALUM_KEMET_C","80.046mm","78.2193mm","80.046mm","77.47mm","80.046mm","77.47mm","B","90.00","18K"
"LR 151","LED0603","126.0856mm","50.673mm","126.0856mm","50.673mm","125.0442mm","50.673mm","T","360.00",""
"R4","TANTALUM_KEMET_C","97.0513mm","60.0964mm","96.302mm","60.0964mm","96.302mm","60.0964mm","B","360.00","82R"
"R5","TANTALUM_KEMET_C","97.0513mm","58.1152mm","96.302mm","58.1152mm","96.302mm","58.1152mm","B","360.00","82R"
"R6","TANTALUM_KEMET_C","97.0513mm","56.134mm","96.302mm","56.134mm","96.302mm","56.134mm","B","360.00","82R"
"C3","TANTALUM_KEMET_C","97.0513mm","53.975mm","96.302mm","53.975mm","96.302mm","53.975mm","B","360.00","100nF"
"R10","TANTALUM_KEMET_C","97.0513mm","45.593mm","96.302mm","45.593mm","96.302mm","45.593mm","B","360.00","82R"
"R9","TANTALUM_KEMET_C","97.0513mm","47.625mm","96.302mm","47.625mm","96.302mm","47.625mm","B","360.00","82R"
"R30","TANTALUM_KEMET_C","97.0513mm","49.8094mm","96.302mm","49.8094mm","96.302mm","49.8094mm","B","360.00","150R"
"R29","TANTALUM_KEMET_C","97.0513mm","51.943mm","96.302mm","51.943mm","96.302mm","51.943mm","B","360.00","150R"
"R7","TANTALUM_KEMET_C","94.1176mm","44.7167mm","94.1176mm","45.466mm","94.1176mm","45.466mm","B","270.00","82R"
"R8","TANTALUM_KEMET_C","92.1364mm","44.7167mm","92.1364mm","45.466mm","92.1364mm","45.466mm","B","270.00","82R"
"R17","TANTALUM_KEMET_C","90.1552mm","44.7167mm","90.1552mm","45.466mm","90.1552mm","45.466mm","B","270.00","82R"
"R20","TANTALUM_KEMET_C","88.174mm","44.7167mm","88.174mm","45.466mm","88.174mm","45.466mm","B","270.00","2K7"
"R13","TANTALUM_KEMET_C","79.7666mm","44.7167mm","79.7666mm","45.466mm","79.7666mm","45.466mm","B","270.00","82R"
"R12","TANTALUM_KEMET_C","81.824mm","44.7167mm","81.824mm","45.466mm","81.824mm","45.466mm","B","270.00","82R"
"R11","TANTALUM_KEMET_C","83.8814mm","44.7167mm","83.8814mm","45.466mm","83.8814mm","45.466mm","B","270.00","82R"
"C5","TANTALUM_KEMET_C","85.9388mm","44.7167mm","85.9388mm","45.466mm","85.9388mm","45.466mm","B","270.00","10uF"
"R22","TANTALUM_KEMET_C","76.6297mm","53.9242mm","77.379mm","53.9242mm","77.379mm","53.9242mm","B","180.00","2K7"
"R31","TANTALUM_KEMET_C","76.6297mm","56.0324mm","77.379mm","56.0324mm","77.379mm","56.0324mm","B","180.00","150R"
"R41","TANTALUM_KEMET_C","76.6297mm","57.9628mm","77.379mm","57.9628mm","77.379mm","57.9628mm","B","180.00","18K"
"R32","TANTALUM_KEMET_C","76.6297mm","59.8932mm","77.379mm","59.8932mm","77.379mm","59.8932mm","B","180.00","150R"
"C1","TANTALUM_KEMET_C","76.6297mm","51.3334mm","77.379mm","51.3334mm","77.379mm","51.3334mm","B","180.00","100nF"
"R16","TANTALUM_KEMET_C","76.6297mm","48.7934mm","77.379mm","48.7934mm","77.379mm","48.7934mm","B","180.00","82R"
"R15","TANTALUM_KEMET_C","76.6297mm","46.7868mm","77.379mm","46.7868mm","77.379mm","46.7868mm","B","180.00","82R"
"R14","TANTALUM_KEMET_C","76.6297mm","44.7802mm","77.379mm","44.7802mm","77.379mm","44.7802mm","B","180.00","82R"
"U2","LED0603","79.7102mm","33.6169mm","79.7102mm","33.6169mm","82.5352mm","35.8919mm","B","180.00","74hc138"
"U1","PCBComponent_1","87.031mm","54.61mm","87.031mm","54.61mm","81.331mm","57.01mm","B","90.00","PIC24FJ256GA704"
"U3","LED0603","94.493mm","33.6169mm","94.493mm","33.6169mm","97.318mm","35.8919mm","B","180.00","74HC138"
"SW20","key4p","87.0698mm","71.8507mm","87.0698mm","71.8507mm","83.0698mm","69.6007mm","B","360.00","tactile key"
"SW18","key4p","20.7093mm","9.5116mm","20.7093mm","9.5116mm","18.4593mm","5.5116mm","T","90.00","tactile key"
"SW17","key4p","29.7993mm","9.5116mm","29.7993mm","9.5116mm","27.5493mm","5.5116mm","T","90.00","tactile key"
"SW16","key4p","37.7971mm","9.5116mm","37.7971mm","9.5116mm","35.5471mm","5.5116mm","T","90.00","tactile key"
"SW15","key4p","45.7965mm","9.5116mm","45.7965mm","9.5116mm","43.5465mm","5.5116mm","T","90.00","tactile key"
"SW14","key4p","53.7943mm","9.5116mm","53.7943mm","9.5116mm","51.5443mm","5.5116mm","T","90.00","tactile key"
"SW1","key4p","163.4521mm","9.5116mm","163.4521mm","9.5116mm","161.2021mm","5.5116mm","T","90.00","tactile key"
"SW2","key4p","154.1621mm","9.5116mm","154.1621mm","9.5116mm","151.9121mm","5.5116mm","T","90.00","tactile key"
"SW3","key4p","146.1643mm","9.5116mm","146.1643mm","9.5116mm","143.9143mm","5.5116mm","T","90.00","tactile key"
"SW4","key4p","138.1649mm","9.5116mm","138.1649mm","9.5116mm","135.9149mm","5.5116mm","T","90.00","tactile key"
"SW5","key4p","130.1671mm","9.5116mm","130.1671mm","9.5116mm","127.9171mm","5.5116mm","T","90.00","tactile key"
"SW9","key4p","96.8551mm","9.5116mm","96.8551mm","9.5116mm","94.6051mm","5.5116mm","T","90.00","tactile key"
"SW8","key4p","104.8529mm","9.5116mm","104.8529mm","9.5116mm","102.6029mm","5.5116mm","T","90.00","tactile key"
"SW7","key4p","112.8523mm","9.5116mm","112.8523mm","9.5116mm","110.6023mm","5.5116mm","T","90.00","tactile key"
"SW6","key4p","120.8501mm","9.5116mm","120.8501mm","9.5116mm","118.6001mm","5.5116mm","T","90.00","tactile key"
"SW10","key4p","87.5381mm","9.5116mm","87.5381mm","9.5116mm","85.2881mm","5.5116mm","T","90.00","tactile key"
"SW11","key4p","79.5403mm","9.5116mm","79.5403mm","9.5116mm","77.2903mm","5.5116mm","T","90.00","tactile key"
"SW12","key4p","71.5409mm","9.5116mm","71.5409mm","9.5116mm","69.2909mm","5.5116mm","T","90.00","tactile key"
"SW13","key4p","63.5431mm","9.5116mm","63.5431mm","9.5116mm","61.2931mm","5.5116mm","T","90.00","tactile key"
"LY 81","LED0603","70.629mm","32.9454mm","70.629mm","32.9454mm","69.5876mm","32.9454mm","T","0.00",""
"LY 80","LED0603","66.7206mm","32.9454mm","66.7206mm","32.9454mm","65.6792mm","32.9454mm","T","0.00",""
"LY 79","LED0603","62.8122mm","32.9454mm","62.8122mm","32.9454mm","61.7708mm","32.9454mm","T","0.00",""
"LY 78","LED0603","58.9038mm","32.9454mm","58.9038mm","32.9454mm","57.8624mm","32.9454mm","T","0.00",""
"LY 89","LED0603","53.1968mm","32.9454mm","53.1968mm","32.9454mm","52.1554mm","32.9454mm","T","0.00",""
"LY 88","LED0603","49.2884mm","32.9454mm","49.2884mm","32.9454mm","48.247mm","32.9454mm","T","0.00",""
"LY 87","LED0603","45.38mm","32.9454mm","45.38mm","32.9454mm","44.3386mm","32.9454mm","T","0.00",""
"LY 86","LED0603","41.4716mm","32.9454mm","41.4716mm","32.9454mm","40.4302mm","32.9454mm","T","0.00",""
"LY 85","LED0603","35.763mm","32.9454mm","35.763mm","32.9454mm","34.7216mm","32.9454mm","T","0.00",""
"LY 84","LED0603","31.8816mm","32.9454mm","31.8816mm","32.9454mm","30.8402mm","32.9454mm","T","0.00",""
"LY 83","LED0603","27.9732mm","32.9454mm","27.9732mm","32.9454mm","26.9318mm","32.9454mm","T","0.00",""
"LY 82","LED0603","24.0648mm","32.9454mm","24.0648mm","32.9454mm","23.0234mm","32.9454mm","T","0.00",""
"LR 182","LED0603","17.2812mm","32.9454mm","17.2812mm","32.9454mm","16.2398mm","32.9454mm","T","0.00",""
"LR 181","LED0603","12.7632mm","32.9454mm","12.7632mm","32.9454mm","11.7218mm","32.9454mm","T","0.00",""
"LR 180","LED0603","8.2452mm","32.9454mm","8.2452mm","32.9454mm","7.2038mm","32.9454mm","T","0.00",""
"LR 183","LED0603","89.1958mm","32.9328mm","89.1958mm","32.9328mm","88.1544mm","32.9328mm","T","0.00",""
"LY 77","LED0603","17.245mm","39.5224mm","17.245mm","39.5224mm","16.2036mm","39.5224mm","T","0.00",""
"LY 76","LED0603","12.7492mm","39.5224mm","12.7492mm","39.5224mm","11.7078mm","39.5224mm","T","0.00",""
"LY 75","LED0603","8.2534mm","39.5224mm","8.2534mm","39.5224mm","7.212mm","39.5224mm","T","0.00",""
"LY 71","LED0603","8.2534mm","48.6918mm","8.2534mm","48.6918mm","7.212mm","48.6918mm","T","0.00",""
"LY 70","LED0603","12.7492mm","48.6918mm","12.7492mm","48.6918mm","11.7078mm","48.6918mm","T","0.00",""
"LY 69","LED0603","17.245mm","48.6918mm","17.245mm","48.6918mm","16.2036mm","48.6918mm","T","0.00",""
"LY 68","LED0603","28.5602mm","55.5974mm","28.5602mm","55.5974mm","27.5188mm","55.5974mm","T","0.00",""
"LY 67","LED0603","43.47mm","55.5974mm","43.47mm","55.5974mm","42.4286mm","55.5974mm","T","0.00",""
"LY 66","LED0603","58.3798mm","55.5974mm","58.3798mm","55.5974mm","57.3384mm","55.5974mm","T","0.00",""
"LY 65","LED0603","73.2896mm","55.5974mm","73.2896mm","55.5974mm","72.2482mm","55.5974mm","T","0.00",""
"LY 64","LED0603","28.5602mm","58.8248mm","28.5602mm","58.8248mm","27.5188mm","58.8248mm","T","0.00",""
"LY 63","LED0603","43.47mm","58.8248mm","43.47mm","58.8248mm","42.4286mm","58.8248mm","T","0.00",""
"LY 62","LED0603","58.3798mm","58.8248mm","58.3798mm","58.8248mm","57.3384mm","58.8248mm","T","0.00",""
"LY 61","LED0603","73.2896mm","58.8248mm","73.2896mm","58.8248mm","72.2482mm","58.8248mm","T","0.00",""
"LY 60","LED0603","28.5602mm","62.0014mm","28.5602mm","62.0014mm","27.5188mm","62.0014mm","T","0.00",""
"LY 59","LED0603","43.47mm","62.0014mm","43.47mm","62.0014mm","42.4286mm","62.0014mm","T","0.00",""
"LY 58","LED0603","58.3798mm","62.0014mm","58.3798mm","62.0014mm","57.3384mm","62.0014mm","T","0.00",""
"LY 57","LED0603","73.2896mm","62.0014mm","73.2896mm","62.0014mm","72.2482mm","62.0014mm","T","0.00",""
"LR 129","LED0603","24.4382mm","69.0452mm","24.4382mm","69.0452mm","24.4382mm","68.0038mm","T","90.00",""
"LR 130","LED0603","39.392mm","69.0452mm","39.392mm","69.0452mm","39.392mm","68.0038mm","T","90.00",""
"LR 131","LED0603","54.4018mm","69.0452mm","54.4018mm","69.0452mm","54.4018mm","68.0038mm","T","90.00",""
"LR 132","LED0603","69.3116mm","69.0452mm","69.3116mm","69.0452mm","69.3116mm","68.0038mm","T","90.00",""
"LY 52","LED0603","28.577mm","77.0018mm","28.577mm","77.0018mm","27.5356mm","77.0018mm","T","360.00",""
"LY 51","LED0603","43.4868mm","77.0018mm","43.4868mm","77.0018mm","42.4454mm","77.0018mm","T","360.00",""
"LY 50","LED0603","58.422mm","77.0018mm","58.422mm","77.0018mm","57.3806mm","77.0018mm","T","360.00",""
"LY 49","LED0603","73.3318mm","77.0018mm","73.3318mm","77.0018mm","72.2904mm","77.0018mm","T","360.00",""
"LY 48","LED0603","98.9309mm","28.3921mm","98.9309mm","28.3921mm","97.8895mm","28.3921mm","T","360.00",""
"LY 47","LED0603","98.9309mm","31.5925mm","98.9309mm","31.5925mm","97.8895mm","31.5925mm","T","360.00",""
"LY 46","LED0603","98.9309mm","34.7929mm","98.9309mm","34.7929mm","97.8895mm","34.7929mm","T","360.00",""
"LY 45","LED0603","98.9309mm","37.9933mm","98.9309mm","37.9933mm","97.8895mm","37.9933mm","T","360.00",""
"LY 44","LED0603","98.9309mm","41.1937mm","98.9309mm","41.1937mm","97.8895mm","41.1937mm","T","360.00",""
"LY 43","LED0603","98.9309mm","44.3941mm","98.9309mm","44.3941mm","97.8895mm","44.3941mm","T","360.00",""
"LY 42","LED0603","98.9309mm","47.5945mm","98.9309mm","47.5945mm","97.8895mm","47.5945mm","T","360.00",""
"LY 41","LED0603","98.9309mm","50.7949mm","98.9309mm","50.7949mm","97.8895mm","50.7949mm","T","360.00",""
"LY 40","LED0603","98.9309mm","53.9953mm","98.9309mm","53.9953mm","97.8895mm","53.9953mm","T","360.00",""
"LY 39","LED0603","98.9309mm","57.1957mm","98.9309mm","57.1957mm","97.8895mm","57.1957mm","T","360.00",""
"LY 38","LED0603","98.9309mm","60.3961mm","98.9309mm","60.3961mm","97.8895mm","60.3961mm","T","360.00",""
"LY 37","LED0603","98.9309mm","63.5965mm","98.9309mm","63.5965mm","97.8895mm","63.5965mm","T","360.00",""
"LY 36","LED0603","98.9309mm","66.7969mm","98.9309mm","66.7969mm","97.8895mm","66.7969mm","T","360.00",""
"LY 35","LED0603","98.9309mm","69.9973mm","98.9309mm","69.9973mm","97.8895mm","69.9973mm","T","360.00",""
"LY 34","LED0603","98.9309mm","73.1977mm","98.9309mm","73.1977mm","97.8895mm","73.1977mm","T","360.00",""
"LY 33","LED0603","98.9309mm","76.3981mm","98.9309mm","76.3981mm","97.8895mm","76.3981mm","T","360.00",""
